"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","10","296-BQ25820RRVRCT-ND","BQ25820RRVR","Stand-alone or I2C controlled","","10","0","6.18000","61.80"
"2","20","742-SIR880BDP-T1-RE3CT-ND","SIR880BDP-T1-RE3","N-CHANNEL 80-V (D-S) MOSFET POWE","","20","0","1.17700","23.54"
"3","16","SS14-M3/5ATGICT-ND","SS14-M3/5AT","DIODE SCHOTTKY 40V 1A DO214AC","","16","0","0.08300","1.33"
"4","10","541-IHLP7575GZER8R2M51CT-ND","IHLP7575GZER8R2M51","FIXED IND 8.2UH 20.7A 0.00774OHM","","10","0","0.98700","9.87"
"5","10","311-1373-1-ND","CC0603KRX7R8BB473","CAP CER 0.047UF 25V X7R 0603","","10","0","0.03700","0.37"
"6","20","311-1591-1-ND","CC0201KRX5R5BB474","CAP CER 0.47UF 6.3V X5R 0201","","20","0","0.10500","2.10"
"7","10","311-1886-1-ND","CC0805KKX7R9BB105","CAP CER 1UF 50V X7R 0805","","10","0","0.13200","1.32"
"8","10","311-1873-1-ND","CC0805KKX5R9BB225","CAP CER 2.2UF 50V X5R 0805","","10","0","0.14600","1.46"
"9","20","10-EEU-FC1H390BCT-ND","EEU-FC1H390B","CAP ALUM 39UF 20% 50V RADIAL TH","","20","0","0.26800","5.36"

